path,label
../data\normal\168.jpg,0
../data\potholes\246.jpg,1
../data\potholes\88.jpg,1
../data\normal\327.jpg,0
../data\normal\165.jpg,0
../data\potholes\29.jpg,1
../data\potholes\137.jpg,1
../data\potholes\274.jpg,1
../data\potholes\11.jpg,1
../data\normal\200.jpg,0
../data\normal\159.jpg,0
../data\potholes\40.jpg,1
../data\normal\246.jpg,0
../data\normal\254.jpg,0
../data\potholes\186.jpg,1
../data\potholes\281.jpg,1
../data\potholes\280.jpg,1
../data\normal\281.jpg,0
../data\normal\82.jpg,0
../data\potholes\17.jpg,1
../data\normal\298.jpg,0
../data\potholes\96.jpg,1
../data\normal\21.jpg,0
../data\normal\161.jpg,0
../data\normal\315.jpg,0
../data\normal\51.jpg,0
../data\potholes\163.jpg,1
../data\potholes\97.jpg,1
../data\potholes\259.jpg,1
../data\potholes\10.jpg,1
../data\normal\40.jpg,0
../data\normal\73.jpg,0
../data\normal\320.jpg,0
../data\potholes\151.jpg,1
../data\normal\328.jpg,0
../data\normal\133.jpg,0
../data\potholes\310.jpg,1
../data\potholes\143.jpg,1
../data\potholes\8.jpg,1
../data\normal\167.jpg,0
../data\normal\351.jpg,0
../data\potholes\243.jpg,1
../data\normal\177.jpg,0
../data\potholes\135.jpg,1
../data\normal\218.jpg,0
../data\normal\95.jpg,0
../data\normal\258.jpg,0
../data\potholes\132.jpg,1
../data\normal\15.jpg,0
../data\normal\236.jpg,0
../data\normal\61.jpg,0
../data\normal\182.jpg,0
../data\normal\76.jpg,0
../data\potholes\218.jpg,1
../data\potholes\305.jpg,1
../data\normal\309.jpg,0
../data\normal\252.jpg,0
../data\normal\206.jpg,0
../data\normal\68.jpg,0
../data\potholes\172.jpg,1
../data\potholes\20.jpg,1
../data\potholes\83.jpg,1
../data\potholes\309.jpg,1
../data\potholes\158.jpg,1
../data\normal\222.jpg,0
../data\potholes\201.jpg,1
../data\normal\130.jpg,0
../data\potholes\103.jpg,1
../data\normal\262.jpg,0
../data\normal\45.jpg,0
../data\potholes\213.jpg,1
../data\normal\207.jpg,0
../data\normal\287.jpg,0
../data\normal\1.jpg,0
../data\normal\204.jpg,0
../data\normal\102.jpg,0
../data\potholes\127.jpg,1
../data\potholes\322.jpg,1
../data\normal\77.jpg,0
../data\normal\49.jpg,0
../data\potholes\317.jpg,1
../data\normal\53.jpg,0
../data\normal\124.jpg,0
../data\potholes\303.jpg,1
../data\potholes\7.jpg,1
../data\potholes\22.jpg,1
../data\normal\234.jpg,0
../data\potholes\134.jpg,1
../data\normal\32.jpg,0
../data\potholes\279.jpg,1
../data\normal\14.jpg,0
../data\normal\98.jpg,0
../data\normal\308.jpg,0
../data\normal\277.jpg,0
../data\normal\164.jpg,0
../data\normal\132.jpg,0
../data\potholes\72.jpg,1
../data\normal\7.jpg,0
../data\normal\248.jpg,0
../data\normal\202.jpg,0
../data\potholes\2.jpg,1
../data\normal\314.jpg,0
../data\normal\239.jpg,0
../data\potholes\264.jpg,1
../data\potholes\75.jpg,1
../data\normal\338.jpg,0
../data\normal\213.jpg,0
../data\normal\31.jpg,0
../data\normal\160.jpg,0
../data\normal\87.jpg,0
../data\normal\289.jpg,0
../data\potholes\100.jpg,1
../data\potholes\154.jpg,1
../data\potholes\308.jpg,1
../data\potholes\43.jpg,1
../data\potholes\25.jpg,1
../data\normal\278.jpg,0
../data\normal\201.jpg,0
../data\potholes\171.jpg,1
../data\potholes\131.jpg,1
../data\potholes\41.jpg,1
../data\potholes\253.jpg,1
../data\potholes\255.jpg,1
../data\potholes\198.jpg,1
../data\normal\185.jpg,0
../data\potholes\142.jpg,1
../data\potholes\36.jpg,1
../data\normal\305.jpg,0
../data\potholes\120.jpg,1
../data\normal\240.jpg,0
../data\normal\263.jpg,0
../data\potholes\301.jpg,1
../data\normal\158.jpg,0
../data\normal\300.jpg,0
../data\potholes\285.jpg,1
../data\normal\41.jpg,0
../data\potholes\50.jpg,1
../data\normal\55.jpg,0
../data\normal\283.jpg,0
../data\potholes\231.jpg,1
../data\potholes\117.jpg,1
../data\potholes\13.jpg,1
../data\potholes\57.jpg,1
../data\potholes\112.jpg,1
../data\potholes\329.jpg,1
../data\normal\205.jpg,0
../data\normal\145.jpg,0
../data\potholes\187.jpg,1
../data\potholes\239.jpg,1
../data\normal\122.jpg,0
../data\potholes\216.jpg,1
../data\normal\149.jpg,0
../data\normal\134.jpg,0
../data\normal\238.jpg,0
../data\potholes\108.jpg,1
../data\potholes\258.jpg,1
../data\normal\162.jpg,0
../data\potholes\232.jpg,1
../data\normal\107.jpg,0
../data\normal\266.jpg,0
../data\potholes\168.jpg,1
../data\potholes\86.jpg,1
../data\normal\112.jpg,0
../data\potholes\113.jpg,1
../data\potholes\256.jpg,1
../data\normal\74.jpg,0
../data\potholes\74.jpg,1
../data\normal\344.jpg,0
../data\potholes\278.jpg,1
../data\potholes\30.jpg,1
../data\potholes\70.jpg,1
../data\normal\121.jpg,0
../data\potholes\199.jpg,1
../data\normal\88.jpg,0
../data\potholes\149.jpg,1
../data\normal\225.jpg,0
../data\normal\59.jpg,0
../data\potholes\242.jpg,1
../data\normal\176.jpg,0
../data\normal\264.jpg,0
../data\normal\9.jpg,0
../data\potholes\99.jpg,1
../data\potholes\224.jpg,1
../data\normal\89.jpg,0
../data\potholes\272.jpg,1
../data\normal\11.jpg,0
../data\potholes\182.jpg,1
../data\potholes\56.jpg,1
../data\normal\297.jpg,0
../data\normal\288.jpg,0
../data\normal\136.jpg,0
../data\potholes\136.jpg,1
../data\potholes\270.jpg,1
../data\potholes\178.jpg,1
../data\normal\150.jpg,0
../data\potholes\195.jpg,1
../data\normal\67.jpg,0
../data\normal\334.jpg,0
../data\potholes\101.jpg,1
../data\potholes\164.jpg,1
../data\potholes\98.jpg,1
../data\normal\152.jpg,0
../data\normal\30.jpg,0
../data\normal\274.jpg,0
../data\normal\114.jpg,0
../data\normal\16.jpg,0
../data\potholes\93.jpg,1
../data\normal\343.jpg,0
../data\potholes\202.jpg,1
../data\potholes\170.jpg,1
../data\normal\156.jpg,0
../data\potholes\90.jpg,1
../data\potholes\291.jpg,1
../data\normal\69.jpg,0
../data\normal\12.jpg,0
../data\potholes\159.jpg,1
../data\normal\347.jpg,0
../data\normal\226.jpg,0
../data\normal\35.jpg,0
../data\normal\346.jpg,0
../data\normal\224.jpg,0
../data\potholes\193.jpg,1
../data\potholes\14.jpg,1
../data\potholes\267.jpg,1
../data\potholes\166.jpg,1
../data\normal\231.jpg,0
../data\potholes\249.jpg,1
../data\potholes\241.jpg,1
../data\potholes\220.jpg,1
../data\normal\247.jpg,0
../data\normal\255.jpg,0
../data\potholes\314.jpg,1
../data\potholes\138.jpg,1
../data\normal\63.jpg,0
../data\potholes\244.jpg,1
../data\normal\116.jpg,0
../data\potholes\268.jpg,1
../data\normal\183.jpg,0
../data\potholes\173.jpg,1
../data\normal\34.jpg,0
../data\potholes\263.jpg,1
../data\potholes\321.jpg,1
../data\potholes\162.jpg,1
../data\potholes\33.jpg,1
../data\potholes\247.jpg,1
../data\potholes\78.jpg,1
../data\potholes\252.jpg,1
../data\potholes\306.jpg,1
../data\potholes\110.jpg,1
../data\normal\303.jpg,0
../data\potholes\288.jpg,1
../data\normal\275.jpg,0
../data\normal\48.jpg,0
../data\normal\113.jpg,0
../data\normal\169.jpg,0
../data\potholes\277.jpg,1
../data\potholes\235.jpg,1
../data\normal\42.jpg,0
../data\normal\219.jpg,0
../data\potholes\273.jpg,1
../data\potholes\45.jpg,1
../data\normal\193.jpg,0
../data\potholes\31.jpg,1
../data\potholes\71.jpg,1
../data\potholes\51.jpg,1
../data\normal\227.jpg,0
../data\potholes\145.jpg,1
../data\normal\285.jpg,0
../data\normal\198.jpg,0
../data\potholes\217.jpg,1
../data\potholes\6.jpg,1
../data\potholes\32.jpg,1
../data\potholes\225.jpg,1
../data\normal\331.jpg,0
../data\normal\5.jpg,0
../data\potholes\118.jpg,1
../data\normal\209.jpg,0
../data\normal\126.jpg,0
../data\normal\260.jpg,0
../data\normal\120.jpg,0
../data\potholes\207.jpg,1
../data\normal\119.jpg,0
../data\potholes\307.jpg,1
../data\potholes\262.jpg,1
../data\potholes\47.jpg,1
../data\normal\319.jpg,0
../data\normal\109.jpg,0
../data\normal\75.jpg,0
../data\normal\304.jpg,0
../data\potholes\190.jpg,1
../data\normal\105.jpg,0
../data\normal\349.jpg,0
../data\normal\186.jpg,0
../data\normal\175.jpg,0
../data\normal\174.jpg,0
../data\normal\62.jpg,0
../data\normal\101.jpg,0
../data\normal\276.jpg,0
../data\potholes\18.jpg,1
../data\potholes\16.jpg,1
../data\potholes\122.jpg,1
../data\normal\259.jpg,0
../data\potholes\328.jpg,1
../data\normal\56.jpg,0
../data\normal\212.jpg,0
../data\potholes\177.jpg,1
../data\potholes\125.jpg,1
../data\potholes\58.jpg,1
../data\normal\324.jpg,0
../data\normal\3.jpg,0
../data\normal\261.jpg,0
../data\potholes\188.jpg,1
../data\potholes\296.jpg,1
../data\potholes\28.jpg,1
../data\potholes\238.jpg,1
../data\potholes\161.jpg,1
../data\normal\242.jpg,0
../data\normal\129.jpg,0
../data\potholes\298.jpg,1
../data\potholes\126.jpg,1
../data\potholes\293.jpg,1
../data\normal\301.jpg,0
../data\normal\92.jpg,0
../data\normal\299.jpg,0
../data\normal\228.jpg,0
../data\normal\322.jpg,0
../data\potholes\114.jpg,1
../data\potholes\156.jpg,1
../data\normal\317.jpg,0
../data\normal\199.jpg,0
../data\potholes\104.jpg,1
../data\potholes\148.jpg,1
